metro,time,hour_risk,bid_adj_pct
evansville,2026-09-22 06:00:00,6096.5718,38.0
evansville,2026-09-22 07:00:00,8911.551,60.0
evansville,2026-09-22 08:00:00,6004.779,36.0
evansville,2026-09-22 15:00:00,6754.4202000000005,53.0
evansville,2026-09-22 16:00:00,7504.0614,60.0
evansville,2026-09-22 17:00:00,7878.8820000000005,60.0
evansville,2026-09-22 18:00:00,6004.779,36.0
evansville,2026-09-23 06:00:00,6096.5718,38.0
evansville,2026-09-23 07:00:00,8911.551,60.0
evansville,2026-09-23 08:00:00,6004.779,36.0
evansville,2026-09-23 15:00:00,6754.4202000000005,53.0
evansville,2026-09-23 16:00:00,7504.0614,60.0
evansville,2026-09-23 17:00:00,7878.8820000000005,60.0
evansville,2026-09-23 18:00:00,6091.9206,38.0
fortwayne,2026-09-22 07:00:00,18018.822,60.0
fortwayne,2026-09-22 15:00:00,13657.1844,45.0
fortwayne,2026-09-22 16:00:00,15172.930799999998,60.0
fortwayne,2026-09-22 17:00:00,17532.042,60.0
fortwayne,2026-09-22 18:00:00,13544.7875,43.0
fortwayne,2026-09-23 06:00:00,12393.242600000001,31.0
fortwayne,2026-09-23 07:00:00,18018.822,60.0
fortwayne,2026-09-23 14:00:00,12760.343799999999,35.0
fortwayne,2026-09-23 15:00:00,14020.740600000001,48.0
fortwayne,2026-09-23 16:00:00,17286.417599999997,60.0
fortwayne,2026-09-23 17:00:00,18154.263000000003,60.0
fortwayne,2026-09-23 18:00:00,12593.202000000001,33.0
indianapolis,2026-09-22 06:00:00,54760.1166,38.0
indianapolis,2026-09-22 07:00:00,80044.587,60.0
indianapolis,2026-09-22 15:00:00,60668.987400000005,53.0
indianapolis,2026-09-22 16:00:00,67402.3518,60.0
indianapolis,2026-09-22 17:00:00,70769.034,60.0
indianapolis,2026-09-23 06:00:00,55151.655300000006,39.0
indianapolis,2026-09-23 07:00:00,81553.3056,60.0
indianapolis,2026-09-23 08:00:00,54567.135,38.0
indianapolis,2026-09-23 15:00:00,60668.987400000005,53.0
indianapolis,2026-09-23 16:00:00,68855.8591,60.0
indianapolis,2026-09-23 17:00:00,71274.4035,60.0
indianapolis,2026-09-23 18:00:00,64083.1702,60.0
lafayette,2026-09-22 06:00:00,4801.6062,38.0
lafayette,2026-09-22 07:00:00,7018.659000000001,60.0
lafayette,2026-09-22 08:00:00,4729.311000000001,36.0
lafayette,2026-09-22 15:00:00,5319.7218,53.0
lafayette,2026-09-22 16:00:00,5910.1326,60.0
lafayette,2026-09-22 17:00:00,6205.338000000001,60.0
lafayette,2026-09-22 18:00:00,4729.311000000001,36.0
lafayette,2026-09-23 06:00:00,4801.6062,38.0
lafayette,2026-09-23 07:00:00,7018.659000000001,60.0
lafayette,2026-09-23 08:00:00,4729.311000000001,36.0
lafayette,2026-09-23 15:00:00,5319.7218,53.0
lafayette,2026-09-23 16:00:00,5910.1326,60.0
lafayette,2026-09-23 17:00:00,6205.338000000001,60.0
lafayette,2026-09-23 18:00:00,4729.311000000001,36.0
nwindiana,2026-09-22 06:00:00,10865.182200000001,36.0
nwindiana,2026-09-22 07:00:00,15881.979,60.0
nwindiana,2026-09-22 08:00:00,10701.591,34.0
nwindiana,2026-09-22 15:00:00,12037.585799999999,51.0
nwindiana,2026-09-22 16:00:00,13373.5806,60.0
nwindiana,2026-09-22 17:00:00,14041.578,60.0
nwindiana,2026-09-22 18:00:00,10701.591,34.0
nwindiana,2026-09-23 06:00:00,10865.182200000001,36.0
nwindiana,2026-09-23 07:00:00,15881.979,60.0
nwindiana,2026-09-23 08:00:00,10701.591,34.0
nwindiana,2026-09-23 15:00:00,12037.585799999999,51.0
nwindiana,2026-09-23 16:00:00,13373.5806,60.0
nwindiana,2026-09-23 17:00:00,14041.578,60.0
nwindiana,2026-09-23 18:00:00,10701.591,34.0
other_in,2026-09-22 06:00:00,36244.941,36.0
other_in,2026-09-22 07:00:00,52843.002,60.0
other_in,2026-09-22 15:00:00,40051.8204,51.0
other_in,2026-09-22 16:00:00,44576.8626,60.0
other_in,2026-09-22 17:00:00,46869.738000000005,60.0
other_in,2026-09-22 18:00:00,36368.2225,37.0
other_in,2026-09-23 06:00:00,36446.967300000004,37.0
other_in,2026-09-23 07:00:00,53479.128000000004,60.0
other_in,2026-09-23 15:00:00,40579.5942,53.0
other_in,2026-09-23 16:00:00,44771.9893,60.0
other_in,2026-09-23 17:00:00,46894.3344,60.0
other_in,2026-09-23 18:00:00,36191.145300000004,36.0
southbend,2026-09-22 06:00:00,10907.2638,33.0
southbend,2026-09-22 07:00:00,15943.491,60.0
southbend,2026-09-22 15:00:00,12084.208200000001,47.0
southbend,2026-09-22 16:00:00,13425.3774,60.0
southbend,2026-09-22 17:00:00,14095.962,60.0
southbend,2026-09-23 06:00:00,10907.2638,33.0
southbend,2026-09-23 07:00:00,15943.491,60.0
southbend,2026-09-23 08:00:00,11299.2135,37.0
southbend,2026-09-23 15:00:00,12711.3837,55.0
southbend,2026-09-23 16:00:00,13714.6734,60.0
southbend,2026-09-23 17:00:00,14270.7633,60.0
southbend,2026-09-23 18:00:00,11432.153,39.0
